Iter,MSGD-Cov,MSGD-Fisher,MSGD-[Cov-10],MSGD-[Fisher-10],MSGD-[Cov-50],MSGD-[Fisher-50],MSGD-[Cov-100],MSGD-[Fisher-100]
91,53.92,60.63,55.07,62.03,55.33,56.35,53.92,61.74
92,59.83,58.14,55.91,61.28,60.2,62.64,59.83,66.07
93,61.09,63.93,54.67,56.27,60.13,63,61.09,64.64
94,62.98,59.38,48.96,60.43,62.48,66.85,62.98,66.89
95,62.43,59.94,43.87,55.02,52.35,61.59,62.43,63.15
96,63.07,55.29,47.8,60.29,42.43,62.71,63.07,55.08
97,51.18,56.58,56.18,58.88,40.36,59.2,51.18,47.02
98,47.01,63.5,57.2,67.7,51.09,64.07,47.01,52.51
99,47.42,64.78,58.69,62.97,53.14,63.91,47.42,64.43
100,55.82,65.49,62.45,64.89,60.01,68.61,55.82,64.73
200,71.43,72.99,74.31,69.25,69.65,71.83,71.43,70.61
300,73.89,71.53,74.28,73.73,74.67,74.86,73.89,74.73
400,75.16,74.05,77.43,76.43,75.07,77.51,75.16,74.6
500,77.87,75.51,78.81,76.54,76.76,75.83,77.87,76.12
600,76.89,75.81,78.47,77.54,77.76,78.47,76.89,76.07
700,79.14,77.74,75.98,78.14,78.41,78.55,79.14,77.62
800,79.34,74.04,79.22,78.06,77.41,79.72,79.34,74.02
900,78.65,77.92,78.85,75.51,80.26,80.04,78.65,77.34
1000,78.49,75.99,79.03,79.48,79.7,80.31,78.49,77.82
1100,77.17,74.54,79.01,72.69,80.31,79.33,77.17,78.68
1200,78.36,78.5,78.96,76.89,80.08,78.17,78.36,78.7
1300,78.41,74.62,78.9,77.41,79.99,80.01,78.41,78.73
1400,78.36,79.29,78.87,77.49,79.89,79.96,78.36,79.02
1500,78.42,79.15,78.83,77.19,79.82,79.89,78.42,78.92
1600,78.37,75.82,78.82,77.54,79.79,79.87,78.37,79.01
1700,78.37,78.96,78.78,73.74,79.74,79.81,78.37,79
1800,78.35,77.65,78.77,78.46,79.74,79.77,78.35,79.02
1900,78.35,75.33,78.75,78.41,79.72,79.76,78.35,79.01
2000,78.34,78.85,78.74,78.24,79.69,79.74,78.34,79
2100,78.36,77.62,78.74,78.25,79.67,79.73,78.36,79.01
2200,78.33,76.3,78.74,78.2,79.65,79.72,78.33,78.99
2300,78.33,79.09,78.7,78.19,79.64,79.71,78.33,78.98
2400,78.32,79.12,78.7,78.19,79.61,79.71,78.32,78.98
2500,78.3,79.11,78.69,78.19,79.61,79.69,78.3,78.96
2600,78.31,79.12,78.69,78.19,79.6,79.68,78.31,78.97
2700,78.3,79.08,78.67,78.18,79.59,79.68,78.3,78.99
2800,78.32,79.07,78.69,78.17,79.59,79.66,78.32,78.97
2900,78.3,79.09,78.67,78.17,79.58,79.66,78.3,78.97
3000,78.31,79.09,78.68,78.18,79.58,79.66,78.31,78.96
3100,78.3,79.1,78.68,78.18,79.58,79.65,78.3,78.96
3200,78.29,79.08,78.67,78.19,79.58,79.65,78.29,78.93
3300,78.29,79.08,78.67,78.19,79.58,79.64,78.29,78.94
3400,78.31,79.09,78.66,78.18,79.58,79.64,78.31,78.93
3500,78.31,79.07,78.66,78.17,79.59,79.65,78.31,78.93
3600,78.31,79.07,78.65,78.16,79.6,79.65,78.31,78.93
3700,78.3,79.09,78.65,78.15,79.6,79.65,78.3,78.93
3800,78.3,79.08,78.65,78.14,79.6,79.64,78.3,78.94
3900,78.29,79.08,78.64,78.15,79.59,79.65,78.29,78.93
4000,78.29,79.06,78.65,78.14,79.6,79.65,78.29,78.94
4100,78.29,79.05,78.64,78.12,79.6,79.65,78.29,78.95
4200,78.29,79.06,78.64,78.13,79.6,79.64,78.29,78.95
4300,78.29,79.07,78.63,78.11,79.6,79.63,78.29,78.95
4400,78.29,79.06,78.64,78.11,79.59,79.63,78.29,78.96
4500,78.3,79.06,78.63,78.11,79.58,79.62,78.3,78.96
4600,78.29,79.06,78.64,78.11,79.59,79.61,78.29,78.95
4700,78.3,79.07,78.64,78.11,79.57,79.62,78.3,78.94
4800,78.3,79.08,78.64,78.11,79.58,79.62,78.3,78.94
4900,78.3,79.07,78.65,78.11,79.58,79.62,78.3,78.95
5000,78.29,79.07,78.65,78.11,79.59,79.61,78.29,78.94
5100,78.29,79.07,78.65,78.09,79.59,79.61,78.29,78.94
5200,78.29,79.07,78.64,78.09,79.58,79.61,78.29,78.95
5300,78.29,79.06,78.64,78.08,79.59,79.62,78.29,78.95
5400,78.29,79.06,78.64,78.08,79.59,79.61,78.29,78.95
5500,78.28,79.06,78.63,78.08,79.57,79.61,78.28,78.95
5600,78.29,79.06,78.63,78.08,79.57,79.6,78.29,78.95
5700,78.28,79.07,78.63,78.08,79.57,79.61,78.28,78.95
5800,78.29,79.06,78.62,78.08,79.57,79.6,78.29,78.95
5900,78.29,79.06,78.63,78.08,79.57,79.6,78.29,78.95
6000,78.28,79.06,78.63,78.07,79.56,79.6,78.28,78.95
6100,78.28,79.06,78.64,78.07,79.56,79.6,78.28,78.95
6200,78.29,79.06,78.63,78.07,79.56,79.59,78.29,78.95
6300,78.28,79.06,78.64,78.08,79.55,79.6,78.28,78.94
6400,78.28,79.05,78.64,78.08,79.55,79.6,78.28,78.94
6500,78.28,79.06,78.63,78.07,79.56,79.6,78.28,78.95
6600,78.28,79.05,78.63,78.08,79.56,79.6,78.28,78.95
6700,78.28,79.06,78.63,78.08,79.56,79.6,78.28,78.95
6800,78.28,79.06,78.62,78.08,79.55,79.6,78.28,78.95
6900,78.28,79.05,78.62,78.07,79.55,79.6,78.28,78.95
